step,alive,reached,avg_exposure
183,55,29,40.060
184,55,31,40.257
185,55,31,40.464
186,55,31,40.729
187,55,31,40.995
188,55,31,41.205
189,55,31,41.416
190,55,31,41.672
191,55,31,41.896
192,55,31,42.120
193,55,31,42.301
194,55,31,42.538
195,55,31,42.808
196,55,31,43.047
197,55,31,43.285
198,55,31,43.524
199,55,31,43.742
200,55,31,43.984
201,55,31,44.225
202,55,31,44.423
203,55,31,44.655
204,55,32,44.889
205,55,32,45.157
206,55,32,45.393
207,55,32,45.641
208,55,32,45.900
209,55,32,46.181
210,55,32,46.431
211,55,32,46.682
212,55,32,46.902
213,55,32,47.143
214,55,32,47.363
215,55,32,47.563
216,55,32,47.785
217,55,32,48.028
218,55,32,48.261
219,55,32,48.505
220,55,32,48.720
221,55,32,48.937
222,55,32,49.143
223,55,32,49.389
224,55,33,49.587
225,55,33,49.816
226,55,33,50.057
227,55,33,50.277
228,55,33,50.479
229,55,33,50.703
230,55,33,50.927
231,55,33,51.151
232,55,33,51.376
233,55,33,51.650
234,55,33,51.896
235,55,33,52.114
236,55,33,52.342
237,55,33,52.589
238,55,33,52.836
239,55,33,53.074
240,55,33,53.313
241,55,33,53.563
242,55,33,53.814
243,55,33,54.064
244,55,33,54.297
245,55,33,54.530
246,55,33,54.755
247,55,33,54.999
248,55,33,55.253
249,55,33,55.480
250,55,33,55.725
251,55,33,56.008
252,55,33,56.264
253,55,33,56.512
254,55,33,56.786
255,55,33,57.053
256,55,33,57.311
257,55,33,57.562
258,55,33,57.786
259,55,33,58.055
260,55,33,58.298
261,55,33,58.559
262,55,33,58.802
263,55,33,59.047
264,55,33,59.302
265,55,33,59.556
266,55,33,59.828
267,55,33,60.075
268,55,33,60.341
269,55,33,60.599
270,55,33,60.874
271,55,33,61.116
272,55,33,61.391
273,55,33,61.657
274,55,33,61.926
275,55,33,62.187
276,55,33,62.432
277,55,33,62.670
278,55,33,62.957
279,55,33,63.237
280,55,33,63.509
281,55,33,63.800
282,55,33,64.099
283,55,33,64.357
284,55,33,64.617
285,55,33,64.892
286,55,33,65.199
287,55,33,65.476
288,55,33,65.738
289,55,33,66.015
290,55,33,66.301
291,55,33,66.595
292,55,33,66.859
293,55,33,67.154
294,55,33,67.465
295,55,33,67.761
296,55,33,68.021
297,55,33,68.326
298,55,33,68.587
299,55,33,68.863
300,55,33,69.154
301,55,33,69.460
302,55,33,69.725
303,55,33,70.019
304,55,33,70.292
305,55,33,70.608
306,55,33,70.888
307,55,33,71.204
308,55,33,71.487
309,55,33,71.777
310,55,33,72.102
311,55,33,72.399
312,55,33,72.697
313,55,33,72.995
314,55,33,73.286
315,55,33,73.551
316,55,33,73.838
317,55,33,74.124
318,55,33,74.412
319,55,33,74.727
320,55,33,75.011
321,55,33,75.295
322,55,33,75.612
323,55,33,75.922
324,55,33,76.208
325,55,33,76.532
326,55,33,76.819
327,55,33,77.125
328,55,33,77.413
329,55,33,77.726
330,55,33,78.046
331,55,33,78.329
332,55,33,78.614
333,55,33,78.906
334,55,33,79.222
335,55,33,79.522
336,55,33,79.834
337,55,33,80.140
338,55,33,80.442
339,55,33,80.760
340,55,33,81.068
341,55,33,81.359
342,55,33,81.674
343,55,33,81.982
344,55,33,82.291
345,55,33,82.591
346,55,33,82.902
347,55,33,83.207
348,55,33,83.508
349,55,33,83.825
350,55,33,84.159
351,55,33,84.484
352,55,33,84.800
353,55,33,85.130
354,55,34,85.435
355,55,34,85.738
356,55,34,86.037
357,55,34,86.336
358,55,34,86.631
359,55,34,86.935
360,55,34,87.237
361,55,34,87.548
362,55,34,87.859
363,55,34,88.152
364,55,34,88.479
365,55,34,88.777
366,55,34,89.080
367,55,34,89.423
368,55,34,89.728
369,55,34,90.030
370,55,34,90.328
371,55,35,90.645
372,55,35,90.958
373,55,35,91.248
374,55,35,91.561
375,55,35,91.870
376,55,35,92.175
377,55,36,92.458
378,55,36,92.738
379,55,36,93.027
380,55,36,93.311
381,55,36,93.602
382,55,36,93.888
383,55,36,94.175
384,55,36,94.462
385,55,36,94.758
386,55,36,95.054
387,55,36,95.346
388,55,36,95.647
389,55,36,95.929
390,55,36,96.223
391,55,36,96.511
392,55,36,96.805
393,55,36,97.096
394,55,36,97.392
395,55,36,97.677
396,55,36,97.977
397,55,36,98.278
398,55,36,98.576
399,55,36,98.872
