episode,return,steps,reached,avg_loss,eps,moving_avg_return,moving_avg_reached_rate,buffer_size
114,343.5174,43,1,4.220389,0.4273,356.4819,1.0000,8531
115,510.3963,95,1,4.153861,0.4260,362.9744,1.0000,8626
116,325.6325,43,1,4.138027,0.4247,365.4079,1.0000,8669
117,247.1290,14,1,4.268580,0.4234,363.1086,1.0000,8683
118,372.8542,44,1,4.339254,0.4222,364.2251,1.0000,8727
119,297.1973,26,1,4.233546,0.4209,358.1906,1.0000,8753
120,242.8015,14,1,4.372212,0.4196,351.2605,1.0000,8767
121,327.1257,51,1,4.454822,0.4184,352.1284,1.0000,8818
122,264.4064,23,1,4.573364,0.4171,343.4405,1.0000,8841
123,319.7738,35,1,4.676055,0.4159,336.1311,1.0000,8876
124,337.5623,39,1,4.281691,0.4146,341.0198,1.0000,8915
125,537.0228,64,1,4.455767,0.4134,351.6075,1.0000,8979
126,256.1143,7,1,4.503688,0.4121,335.4840,1.0000,8986
127,349.9553,28,1,4.277858,0.4109,329.2045,1.0000,9014
128,284.7170,43,1,4.477836,0.4097,331.2514,1.0000,9057
129,315.4765,45,1,4.499175,0.4084,335.9446,1.0000,9102
130,382.3230,47,1,4.367072,0.4072,336.1388,1.0000,9149
131,404.2611,41,1,4.256068,0.4060,342.1631,1.0000,9190
132,361.3564,43,1,4.417615,0.4048,337.5178,1.0000,9233
133,343.8843,73,1,4.684665,0.4036,341.1753,1.0000,9306
134,278.8230,15,1,4.464787,0.4024,337.9406,1.0000,9321
135,378.7531,70,1,4.684712,0.4011,331.3585,1.0000,9391
136,505.9165,82,1,4.612279,0.3999,340.3727,1.0000,9473
137,496.9125,91,1,4.745028,0.3987,352.8618,1.0000,9564
138,442.4363,74,1,4.648218,0.3975,356.3410,1.0000,9638
139,352.1710,44,1,4.662122,0.3964,359.0896,1.0000,9682
140,360.3195,63,1,4.554594,0.3952,364.9655,1.0000,9745
141,354.2061,46,1,4.690138,0.3940,366.3196,1.0000,9791
142,554.2219,100,1,4.545200,0.3928,380.8103,1.0000,9891
143,308.6308,24,1,4.539638,0.3916,380.2532,1.0000,9915
144,544.4579,158,1,4.645936,0.3904,390.5980,1.0000,10073
145,346.3445,32,1,4.798225,0.3893,381.0641,1.0000,10105
146,364.6281,43,1,4.798166,0.3881,386.4898,1.0000,10148
147,572.6829,146,1,4.629130,0.3869,397.6261,1.0000,10294
148,239.5904,16,1,4.667062,0.3858,395.3698,1.0000,10310
149,327.6915,55,1,4.828133,0.3846,395.9806,1.0000,10365
150,281.9369,44,1,4.604458,0.3835,390.9612,1.0000,10409
151,291.4072,32,1,4.816220,0.3823,385.3186,1.0000,10441
152,432.5279,72,1,4.685151,0.3812,388.8771,1.0000,10513
153,493.2931,94,1,4.694807,0.3800,396.3476,1.0000,10607
154,447.6031,83,1,4.759462,0.3789,404.7866,1.0000,10690
155,482.4717,72,1,4.738378,0.3778,409.9725,1.0000,10762
156,389.5065,56,1,4.682642,0.3766,404.1520,1.0000,10818
157,422.4624,54,1,4.812621,0.3755,400.4295,1.0000,10872
158,393.0092,66,1,4.633813,0.3744,397.9581,1.0000,10938
159,498.4154,116,1,4.678770,0.3732,405.2704,1.0000,11054
160,668.3025,144,1,4.671641,0.3721,420.6695,1.0000,11198
161,524.1263,76,1,4.647975,0.3710,429.1655,1.0000,11274
162,518.5672,101,1,4.665821,0.3699,427.3828,1.0000,11375
163,382.2823,41,1,4.685942,0.3688,431.0653,1.0000,11416
164,432.7724,52,1,4.721762,0.3677,425.4811,1.0000,11468
165,488.1396,77,1,4.692116,0.3666,432.5708,1.0000,11545
166,232.7886,22,1,4.953711,0.3655,425.9788,1.0000,11567
167,820.7083,165,1,4.819019,0.3644,438.3801,1.0000,11732
168,366.5806,50,1,4.740745,0.3633,444.7296,1.0000,11782
169,475.2506,59,1,4.902506,0.3622,452.1076,1.0000,11841
170,428.8273,61,1,4.753786,0.3611,459.4521,1.0000,11902
171,506.8332,73,1,4.805520,0.3600,470.2234,1.0000,11975
172,830.4678,165,1,4.795625,0.3589,490.1204,1.0000,12140
173,214.4039,11,1,4.951915,0.3579,476.1759,1.0000,12151
174,326.2301,29,1,4.801482,0.3568,470.1073,1.0000,12180
175,267.5705,18,1,4.677114,0.3557,459.3622,1.0000,12198
176,402.3891,53,1,4.760075,0.3547,460.0064,1.0000,12251
177,268.3731,19,1,4.843085,0.3536,452.3019,1.0000,12270
178,361.4472,31,1,4.910005,0.3525,450.7238,1.0000,12301
179,484.0655,73,1,4.814786,0.3515,450.0063,1.0000,12374
180,419.5998,48,1,4.840186,0.3504,437.5712,1.0000,12422
181,494.0559,75,1,4.680911,0.3494,436.0677,1.0000,12497
182,646.4208,117,1,4.888762,0.3483,442.4603,1.0000,12614
183,374.1546,64,1,4.960450,0.3473,442.0539,1.0000,12678
184,393.8552,40,1,4.808352,0.3462,440.1081,1.0000,12718
185,391.1018,50,1,4.643708,0.3452,435.2562,1.0000,12768
186,534.9679,69,1,4.841614,0.3442,450.3652,1.0000,12837
187,522.2058,133,1,4.927585,0.3431,435.4400,1.0000,12970
188,551.0797,94,1,4.847153,0.3421,444.6650,1.0000,13064
189,680.2159,128,1,4.835630,0.3411,454.9133,1.0000,13192
190,289.7738,30,1,4.972090,0.3400,447.9606,1.0000,13222
191,475.4603,84,1,4.979244,0.3390,446.3919,1.0000,13306
192,449.7266,62,1,4.788166,0.3380,427.3549,1.0000,13368
193,533.5063,90,1,4.893681,0.3370,443.3100,1.0000,13458
194,346.5319,40,1,4.897464,0.3360,444.3251,1.0000,13498
195,772.0957,129,1,4.977330,0.3350,469.5513,1.0000,13627
196,398.0548,53,1,4.937670,0.3340,469.3346,1.0000,13680
197,335.4974,40,1,5.056202,0.3330,472.6908,1.0000,13720
198,321.4499,29,1,5.020139,0.3320,470.6910,1.0000,13749
199,619.0015,122,1,4.990933,0.3310,477.4378,1.0000,13871
200,247.8207,16,1,4.851767,0.3300,468.8488,1.0000,13887
201,310.5784,19,1,4.919394,0.3290,459.6749,1.0000,13906
202,550.6827,69,1,5.093921,0.3280,454.8880,1.0000,13975
203,244.3689,12,1,5.051953,0.3270,448.3988,1.0000,13987
204,343.1415,37,1,4.965010,0.3260,445.8631,1.0000,14024
205,274.5259,20,1,5.285924,0.3251,440.0343,1.0000,14044
206,425.2434,53,1,5.155911,0.3241,434.5481,1.0000,14097
207,424.6816,62,1,5.300283,0.3231,429.6719,1.0000,14159
208,583.0047,101,1,5.254187,0.3221,431.2681,1.0000,14260
209,531.2726,63,1,5.298377,0.3212,423.8209,1.0000,14323
210,486.5612,78,1,5.188278,0.3202,433.6603,1.0000,14401
211,492.3226,79,1,5.277826,0.3193,434.5034,1.0000,14480
212,394.8982,36,1,5.211391,0.3183,431.7620,1.0000,14516
213,797.4508,189,1,5.220587,0.3173,444.9592,1.0000,14705
214,836.2092,171,1,5.109563,0.3164,469.4431,1.0000,14876
215,277.3244,11,1,5.000693,0.3154,444.7045,1.0000,14887
216,527.2144,91,1,5.149363,0.3145,451.1625,1.0000,14978
217,465.1236,74,1,5.224509,0.3135,457.6438,1.0000,15052
218,458.2945,45,1,4.942984,0.3126,464.4861,1.0000,15097
219,401.3133,50,1,5.138367,0.3117,453.6016,1.0000,15147
220,537.4799,76,1,5.233289,0.3107,468.0846,1.0000,15223
221,251.1995,10,1,5.202401,0.3098,465.1157,1.0000,15233
222,287.4373,14,1,5.275809,0.3089,451.9534,1.0000,15247
223,528.3549,70,1,5.143433,0.3079,466.1527,1.0000,15317
224,274.2837,18,1,5.278761,0.3070,462.7098,1.0000,15335
225,595.4755,85,1,5.302292,0.3061,478.7573,1.0000,15420
226,577.6918,119,1,5.202756,0.3052,486.3797,1.0000,15539
227,396.2546,45,1,5.251551,0.3043,484.9583,1.0000,15584
228,273.6736,12,1,5.103104,0.3034,469.4918,1.0000,15596
229,354.7085,34,1,5.371654,0.3024,460.6636,1.0000,15630
230,221.8598,1,1,5.234396,0.3015,447.4285,1.0000,15631
231,395.8455,50,1,5.436748,0.3006,442.6047,1.0000,15681
232,498.4980,89,1,5.452277,0.2997,447.7846,1.0000,15770
233,301.9436,17,1,5.369915,0.2988,423.0093,1.0000,15787
234,363.4963,57,1,5.593334,0.2979,399.3736,1.0000,15844
235,441.4858,56,1,5.356326,0.2970,407.5817,1.0000,15900
236,571.6989,83,1,5.449538,0.2962,409.8059,1.0000,15983
237,621.3281,111,1,5.295013,0.2953,417.6162,1.0000,16094
238,399.3924,69,1,5.385070,0.2944,414.6711,1.0000,16163
239,390.3626,31,1,5.471825,0.2935,414.1235,1.0000,16194
240,451.6103,48,1,5.421382,0.2926,409.8300,1.0000,16242
241,836.6376,156,1,5.331049,0.2917,439.1019,1.0000,16398
242,507.5013,80,1,5.230187,0.2909,450.1051,1.0000,16478
243,518.7535,83,1,5.331652,0.2900,449.6251,1.0000,16561
244,504.6053,58,1,5.291545,0.2891,461.1411,1.0000,16619
245,896.9376,192,1,5.316209,0.2883,476.2143,1.0000,16811
246,351.7169,27,1,5.245828,0.2874,464.9155,1.0000,16838
247,338.5330,30,1,5.392509,0.2865,462.0294,1.0000,16868
248,306.1765,24,1,5.402641,0.2857,463.6546,1.0000,16892
249,617.8783,92,1,5.425042,0.2848,476.8131,1.0000,16984
250,374.9939,47,1,5.180282,0.2840,484.4698,1.0000,17031
251,223.0655,4,1,5.626787,0.2831,475.8308,1.0000,17035
252,415.7637,40,1,5.476273,0.2823,471.6941,1.0000,17075
253,592.4634,127,1,5.382560,0.2814,486.2200,1.0000,17202
254,327.6758,31,1,5.371085,0.2806,484.4290,1.0000,17233
255,703.4769,122,1,5.319048,0.2797,497.5286,1.0000,17355
256,412.1842,56,1,5.459141,0.2789,489.5528,1.0000,17411
257,545.3414,75,1,5.337256,0.2780,485.7535,1.0000,17486
258,577.3229,77,1,5.280894,0.2772,494.6500,1.0000,17563
259,408.1422,52,1,5.274289,0.2764,495.5390,1.0000,17615
260,289.0363,37,1,5.475775,0.2755,487.4103,1.0000,17652
261,258.3754,9,1,5.642258,0.2747,458.4972,1.0000,17661
262,366.1157,42,1,5.301332,0.2739,451.4279,1.0000,17703
263,244.7079,18,1,5.337625,0.2731,437.7256,1.0000,17721
264,273.2882,9,1,5.503604,0.2723,426.1598,1.0000,17730
265,495.1178,72,1,5.308485,0.2714,406.0688,1.0000,17802
266,531.3202,67,1,5.291374,0.2706,415.0490,1.0000,17869
267,712.8779,108,1,5.387215,0.2698,433.7662,1.0000,17977
268,353.5542,30,1,5.399862,0.2690,436.1351,1.0000,18007
269,412.8867,64,1,5.218020,0.2682,425.8855,1.0000,18071
270,408.8883,43,1,5.260827,0.2674,427.5802,1.0000,18114
271,727.3580,141,1,5.373494,0.2666,452.7949,1.0000,18255
272,473.8142,42,1,5.121977,0.2658,455.6974,1.0000,18297
273,564.3593,65,1,5.242895,0.2650,454.2922,1.0000,18362
274,307.9134,17,1,5.485005,0.2642,453.3040,1.0000,18379
275,844.9922,131,1,5.294975,0.2634,460.3798,1.0000,18510
276,280.8600,16,1,5.281927,0.2626,453.8136,1.0000,18526
277,304.8196,18,1,5.135116,0.2618,441.7875,1.0000,18544
278,376.1565,45,1,5.427916,0.2610,431.7292,1.0000,18589
279,984.9150,181,1,5.380911,0.2603,460.5678,1.0000,18770
280,549.4872,103,1,5.390287,0.2595,473.5904,1.0000,18873
281,357.4180,36,1,5.346975,0.2587,478.5425,1.0000,18909
282,295.3958,24,1,5.675147,0.2579,475.0065,1.0000,18933
283,636.4931,137,1,5.332426,0.2571,494.5958,1.0000,19070
284,670.7099,118,1,5.338818,0.2564,514.4669,1.0000,19188
285,574.5369,88,1,5.311493,0.2556,518.4378,1.0000,19276
286,343.1493,22,1,5.484639,0.2548,509.0293,1.0000,19298
287,544.4149,67,1,5.211462,0.2541,500.6061,1.0000,19365
288,710.6790,107,1,5.259245,0.2533,518.4624,1.0000,19472
289,578.1664,71,1,5.323854,0.2526,526.7264,1.0000,19543
290,300.2342,28,1,5.324035,0.2518,521.2936,1.0000,19571
291,397.4603,39,1,5.444781,0.2510,504.7988,1.0000,19610
292,523.9717,50,1,5.250909,0.2503,507.3066,1.0000,19660
293,273.4509,26,1,5.351906,0.2495,492.7612,1.0000,19686
294,304.3657,19,1,5.629513,0.2488,492.5838,1.0000,19705
295,496.6739,48,1,5.379470,0.2480,475.1679,1.0000,19753
296,322.2380,35,1,5.220673,0.2473,477.2368,1.0000,19788
297,505.1614,67,1,5.180054,0.2466,487.2539,1.0000,19855
298,423.9643,56,1,5.459569,0.2458,489.6443,1.0000,19911
299,320.9949,33,1,5.348349,0.2451,456.4483,1.0000,19944
300,537.2147,69,1,5.332762,0.2443,455.8347,1.0000,20013
301,447.5609,45,1,5.289198,0.2436,460.3418,1.0000,20058
302,562.7375,90,1,5.319885,0.2429,473.7089,1.0000,20148
303,599.3479,83,1,5.426572,0.2422,471.8516,1.0000,20231
304,455.1862,41,1,5.450981,0.2414,461.0754,1.0000,20272
305,655.0106,113,1,5.424582,0.2407,465.0991,1.0000,20385
306,569.9624,85,1,5.443737,0.2400,476.4398,1.0000,20470
307,457.8158,49,1,5.451726,0.2393,472.1098,1.0000,20519
308,564.5211,90,1,5.339105,0.2385,464.8019,1.0000,20609
309,287.8109,11,1,5.295613,0.2378,450.2842,1.0000,20620
310,361.2038,26,1,5.362845,0.2371,453.3326,1.0000,20646
311,607.0751,113,1,5.317796,0.2364,463.8134,1.0000,20759
312,445.8888,59,1,5.442574,0.2357,459.9092,1.0000,20818
313,502.9688,66,1,5.295551,0.2350,471.3851,1.0000,20884
314,304.9339,17,1,5.307839,0.2343,471.4135,1.0000,20901
315,363.1357,29,1,5.242129,0.2336,464.7366,1.0000,20930
316,410.8680,44,1,5.494060,0.2329,469.1681,1.0000,20974
317,724.2673,116,1,5.328210,0.2322,480.1234,1.0000,21090
318,712.0264,118,1,5.399629,0.2315,494.5265,1.0000,21208
319,340.6450,47,1,5.196433,0.2308,495.5090,1.0000,21255
320,514.8483,57,1,5.456614,0.2301,494.3907,1.0000,21312
321,895.8293,167,1,5.403743,0.2294,516.8041,1.0000,21479
322,296.2364,11,1,5.529156,0.2287,503.4791,1.0000,21490
323,792.7510,129,1,5.459346,0.2280,513.1492,1.0000,21619
324,454.3355,46,1,5.409477,0.2273,513.1067,1.0000,21665
325,278.8242,15,1,5.382118,0.2267,494.2974,1.0000,21680
326,455.7422,47,1,5.265623,0.2260,488.5864,1.0000,21727
327,240.9339,5,1,5.287505,0.2253,477.7423,1.0000,21732
328,542.3167,81,1,5.402737,0.2246,476.6321,1.0000,21813
329,452.3230,56,1,5.410946,0.2240,484.8577,1.0000,21869
330,324.1925,28,1,5.363158,0.2233,483.0071,1.0000,21897
331,272.6462,16,1,5.258006,0.2226,466.2857,1.0000,21913
332,502.4881,63,1,5.464770,0.2219,469.1156,1.0000,21976
333,296.5836,22,1,5.337477,0.2213,458.7964,1.0000,21998
334,455.1667,53,1,5.424358,0.2206,466.3080,1.0000,22051
335,605.6707,86,1,5.294080,0.2200,478.4347,1.0000,22137
336,808.1734,127,1,5.334777,0.2193,498.3000,1.0000,22264
337,330.7503,20,1,5.444209,0.2186,478.6242,1.0000,22284
338,402.6555,32,1,5.405354,0.2180,463.1556,1.0000,22316
339,323.0379,24,1,5.244947,0.2173,462.2753,1.0000,22340
340,404.6479,38,1,5.361641,0.2167,456.7653,1.0000,22378
341,486.5638,47,1,5.401480,0.2160,436.3020,1.0000,22425
342,394.3916,47,1,5.539724,0.2154,441.2097,1.0000,22472
343,727.9808,107,1,5.385097,0.2147,437.9712,1.0000,22579
344,297.9615,19,1,5.472144,0.2141,430.1525,1.0000,22598
345,639.1201,88,1,5.435400,0.2134,448.1673,1.0000,22686
346,615.9424,100,1,5.446175,0.2128,456.1773,1.0000,22786
347,385.4120,46,1,5.654248,0.2122,463.4012,1.0000,22832
348,308.3973,17,1,5.406943,0.2115,451.7053,1.0000,22849
349,437.4594,43,1,5.541457,0.2109,450.9621,1.0000,22892
350,369.9949,32,1,5.514970,0.2103,453.2522,1.0000,22924
351,655.0787,103,1,5.549101,0.2096,472.3738,1.0000,23027
352,610.7777,86,1,5.415899,0.2090,477.7883,1.0000,23113
353,639.1315,79,1,5.480507,0.2084,494.9157,1.0000,23192
354,385.9385,30,1,5.588918,0.2078,491.4543,1.0000,23222
355,413.1335,35,1,5.445995,0.2071,481.8274,1.0000,23257
356,318.7621,24,1,5.415036,0.2065,457.3569,1.0000,23281
357,468.3081,46,1,5.564190,0.2059,464.2348,1.0000,23327
358,498.9822,58,1,5.654739,0.2053,469.0511,1.0000,23385
359,248.1514,10,1,5.435186,0.2047,465.3068,1.0000,23395
360,476.8692,44,1,5.524835,0.2040,468.9178,1.0000,23439
361,476.3909,57,1,5.412990,0.2034,468.4092,1.0000,23496
362,349.3435,28,1,5.419304,0.2028,466.1568,1.0000,23524
363,931.4395,149,1,5.562551,0.2022,476.3297,1.0000,23673
364,473.0635,51,1,5.569455,0.2016,485.0848,1.0000,23724
365,696.1602,107,1,5.329925,0.2010,487.9368,1.0000,23831
366,384.3221,36,1,5.466886,0.2004,476.3558,1.0000,23867
367,405.7616,37,1,5.245649,0.1998,477.3733,1.0000,23904
368,578.8230,72,1,5.526202,0.1992,490.8946,1.0000,23976
369,471.8131,55,1,5.615290,0.1986,492.6123,1.0000,24031
370,658.9645,87,1,5.563305,0.1980,507.0607,1.0000,24118
371,862.6632,136,1,5.459666,0.1974,517.4400,1.0000,24254
372,612.3881,67,1,5.620583,0.1968,517.5205,1.0000,24321
373,540.4694,81,1,5.480479,0.1962,512.5874,1.0000,24402
374,661.4541,90,1,5.650948,0.1956,526.3632,1.0000,24492
375,496.7352,58,1,5.552384,0.1950,530.5432,1.0000,24550
376,400.0106,44,1,5.566483,0.1945,534.6057,1.0000,24594
377,636.2081,81,1,5.466301,0.1939,543.0007,1.0000,24675
378,479.1575,47,1,5.474119,0.1933,542.0094,1.0000,24722
379,407.8554,43,1,5.606749,0.1927,549.9946,1.0000,24765
380,553.1438,71,1,5.593691,0.1921,553.8084,1.0000,24836
381,413.0116,37,1,5.549233,0.1916,550.6394,1.0000,24873
382,510.5787,56,1,5.505829,0.1910,558.7012,1.0000,24929
383,846.8779,121,1,5.553850,0.1904,554.4731,1.0000,25050
384,570.2541,84,1,5.612232,0.1898,559.3326,1.0000,25134
385,281.6447,21,1,5.709676,0.1893,538.6068,1.0000,25155
386,538.9493,63,1,5.402896,0.1887,546.3382,1.0000,25218
387,435.0533,48,1,5.388828,0.1881,547.8028,1.0000,25266
388,629.0729,85,1,5.468197,0.1876,550.3153,1.0000,25351
389,521.8818,47,1,5.650274,0.1870,552.8187,1.0000,25398
390,291.2125,11,1,5.294555,0.1865,534.4311,1.0000,25409
391,628.8590,101,1,5.464842,0.1859,522.7409,1.0000,25510
392,658.9443,83,1,5.488976,0.1853,525.0687,1.0000,25593
393,588.9024,67,1,5.454750,0.1848,527.4904,1.0000,25660
394,791.2767,107,1,5.482403,0.1842,533.9815,1.0000,25767
395,900.5797,133,1,5.537662,0.1837,554.1737,1.0000,25900
396,1008.7541,143,1,5.500936,0.1831,584.6109,1.0000,26043
397,412.5677,36,1,5.578503,0.1826,573.4289,1.0000,26079
398,451.0915,38,1,5.551851,0.1820,572.0256,1.0000,26117
399,786.3401,101,1,5.522697,0.1815,590.9498,1.0000,26218
400,410.7527,38,1,5.397568,0.1809,583.8303,1.0000,26256
